pin,slack
SpiMasterPorts_0/un1_rst_set_RNII21M:A,5802
SpiMasterPorts_0/un1_rst_set_RNII21M:B,5724
SpiMasterPorts_0/un1_rst_set_RNII21M:C,
SpiMasterPorts_0/un1_rst_set_RNII21M:Y,5724
SpiMasterPorts_2/DataToMosi_i[20]:ALn,5513
SpiMasterPorts_2/DataToMosi_i[20]:CLK,3818
SpiMasterPorts_2/DataToMosi_i[20]:D,7440
SpiMasterPorts_2/DataToMosi_i[20]:EN,4917
SpiMasterPorts_2/DataToMosi_i[20]:Q,3818
SpiMasterPorts_4/DataFromMiso_7_10_0_a2:A,7510
SpiMasterPorts_4/DataFromMiso_7_10_0_a2:B,7469
SpiMasterPorts_4/DataFromMiso_7_10_0_a2:C,3489
SpiMasterPorts_4/DataFromMiso_7_10_0_a2:D,6474
SpiMasterPorts_4/DataFromMiso_7_10_0_a2:Y,3489
debug_obuf[3]/U0/U_IOOUTFF:A,
debug_obuf[3]/U0/U_IOOUTFF:Y,
SpiMasterPorts_2/DataFromMiso_7_12_0_a2:A,7502
SpiMasterPorts_2/DataFromMiso_7_12_0_a2:B,7511
SpiMasterPorts_2/DataFromMiso_7_12_0_a2:C,3489
SpiMasterPorts_2/DataFromMiso_7_12_0_a2:D,6474
SpiMasterPorts_2/DataFromMiso_7_12_0_a2:Y,3489
nCsB_obuf[2]/U0/U_IOPAD:D,
nCsB_obuf[2]/U0/U_IOPAD:E,
nCsB_obuf[2]/U0/U_IOPAD:PAD,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_37:A,2586
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_37:B,3194
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_37:C,2500
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_37:Y,2500
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0ll.CUARTO0Il_11[8]:A,6732
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0ll.CUARTO0Il_11[8]:B,7710
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0ll.CUARTO0Il_11[8]:C,6610
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0ll.CUARTO0Il_11[8]:D,6496
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0ll.CUARTO0Il_11[8]:Y,6496
SpiMasterPorts_4/nCs[3]:ALn,5513
SpiMasterPorts_4/nCs[3]:CLK,
SpiMasterPorts_4/nCs[3]:EN,6652
SpiMasterPorts_4/nCs[3]:Q,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[6]:CLK,5019
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[6]:D,5008
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[6]:Q,5019
nCsA_obuf[2]/U0/U_IOENFF:A,
nCsA_obuf[2]/U0/U_IOENFF:Y,
SpiMasterPorts_5/Mosi_i_3_18_i_m2_2_0_wmux:A,3209
SpiMasterPorts_5/Mosi_i_3_18_i_m2_2_0_wmux:B,2981
SpiMasterPorts_5/Mosi_i_3_18_i_m2_2_0_wmux:C,3146
SpiMasterPorts_5/Mosi_i_3_18_i_m2_2_0_wmux:D,2883
SpiMasterPorts_5/Mosi_i_3_18_i_m2_2_0_wmux:FCO,
SpiMasterPorts_5/Mosi_i_3_18_i_m2_2_0_wmux:Y,2883
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_17:A,2603
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_17:B,3170
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_17:C,3370
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_17:D,2900
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_17:Y,2603
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_253:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_253:IPB,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_253:IPC,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_3:A,4571
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_3:B,4483
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_3:C,6543
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_3:FCI,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_3:Y,4483
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1OI_5_2[1]:A,7795
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1OI_5_2[1]:B,7643
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1OI_5_2[1]:C,6447
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1OI_5_2[1]:D,4447
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1OI_5_2[1]:Y,4447
SpiMasterPorts_3/Mosi_i_3_18_i_m2_2_wmux_0:A,2883
SpiMasterPorts_3/Mosi_i_3_18_i_m2_2_wmux_0:B,3881
SpiMasterPorts_3/Mosi_i_3_18_i_m2_2_wmux_0:C,4055
SpiMasterPorts_3/Mosi_i_3_18_i_m2_2_wmux_0:D,3818
SpiMasterPorts_3/Mosi_i_3_18_i_m2_2_wmux_0:FCI,
